NombreProyecto,NombreEstacionPeaje,Departamento,Municipio,TAR_PLENA_I,TAR_PLENA_II,TAR_PLENA_III,TAR_PLENA_IV,TAR_PLENA_V,TAR_PLENA_VI,TAR_PLENA_VII,TAR_PLENA_VIII,FechaUltimoCambiodeTarifa
IP - VÍA DEL NUS,CISNEROS,ANTIOQUIA,CISNEROS,8300,8900,8900,8900,18800,23900,27000,0,2019-01-16T00:00:00.000
PERIMETRAL DE ORIENTE DE CUNDINAMARCA,LA CABAÑA,CUNDINAMARCA,SOPÓ,9600,15100,23400,34300,46900,47300,0,0,2019-01-16T00:00:00.000
PERIMETRAL DE ORIENTE DE CUNDINAMARCA,PATIOS,CUNDINAMARCA,LA CALERA,9600,15100,23400,34300,46900,47300,0,0,2019-01-16T00:00:00.000
PUERTA DE HIERRO - CRUZ DEL VISO,CALAMAR,BOLÍVAR,CALAMAR,8300,9000,19200,24400,27400,0,0,0,2019-01-16T00:00:00.000
PUERTA DE HIERRO - CRUZ DEL VISO,EL CARMEN,BOLÍVAR,EL CARMEN DE BOLÍVAR,8800,9600,20100,25600,28800,0,0,0,2019-01-16T00:00:00.000
RUMICHACA - PASTO,EL PLACER,NARIÑO,TANGUA,9900,10400,22100,28800,33200,0,0,0,2019-01-16T00:00:00.000
SANTANA-MOCOA-NEIVA,ALTAMIRA,HUILA,ALTAMIRA,8500,9300,19500,24800,27900,0,0,0,2019-01-16T00:00:00.000
SANTANA-MOCOA-NEIVA,LOS CAUCHOS,HUILA,RIVERA,8300,9000,19200,24400,27400,0,0,0,2019-01-16T00:00:00.000
TRANSVERSAL DEL SISGA,MACHETÁ,CUNDINAMARCA,MACHETÁ,8500,9200,19500,24700,27700,0,0,0,2019-01-16T00:00:00.000
VILLAVICENCIO-YOPAL,PUENTE AMARILLO,META,VILLAVICENCIO,3600,12500,7900,12500,17700,23700,26900,0,2019-01-16T00:00:00.000
VILLAVICENCIO-YOPAL,SAN PEDRO,CASANARE,VILLANUEVA,8400,9100,19400,24700,27600,0,0,0,2019-01-16T00:00:00.000
VILLAVICENCIO-YOPAL,VERACRUZ,META,CUMARAL,6700,13500,8700,13500,19400,26000,29100,0,2019-01-16T00:00:00.000
